#AVSISP
195.144.24.0/24,MK,MK-804,Skopje,1000
2a14:7580:c300::/40,MK,MK-804,Skopje,1000
64.190.237.0/24,US,US-WA,Seattle,98105
208.70.218.0/24,NL,NL-NH,Amsterdam,1013CX
2a14:7580:c000::/40,NL,NL-NH,Amsterdam,1013CX
85.155.228.0/24,AL,AL-11,Tirana,1040
2602:f704:800::/44,US,US-NY,New York,10001
2a14:7583::/39,AL,AL-11,Tirana,1040
2a14:7583:200::/39,IE,IE-D,Dublin,D12
31.57.56.0/24,IE,IE-D,Dublin,D12
2602:f704:c00::/38,IE,IE-D,Dublin,D12
2a0a:79c7:f400::/40,IE,IE-D,Dublin,D12
2a0a:79c7:f700::/40,IE,IE-D,Dublin,D12
2a0a:79c7:fb00::/40,IE,IE-D,Dublin,D12
2a0a:79c7:f200::/40,IE,IE-D,Dublin,D12
2a0a:79c7:f500::/40,IE,IE-D,Dublin,D12
2a0a:79c7:f800::/40,IE,IE-D,Dublin,D12
2a0a:79c7:fc00::/40,IE,IE-D,Dublin,D12
2a0a:79c7:ff00::/40,IE,IE-D,Dublin,D12
2a14:7583:800::/40,IE,IE-D,Dublin,D12
2a14:7583:a00::/40,IE,IE-D,Dublin,D12
2a14:7583:c00::/40,IE,IE-D,Dublin,D12
2a14:7583:e00::/40,IE,IE-D,Dublin,D12
2a0a:79c7:f300::/40,IE,IE-D,Dublin,D12
2a0a:79c7:f600::/40,IE,IE-D,Dublin,D12
2a0a:79c7:fa00::/40,IE,IE-D,Dublin,D12
2a14:7583:700::/40,IE,IE-D,Dublin,D12
2a14:7583:900::/40,IE,IE-D,Dublin,D12
2a14:7583:b00::/40,IE,IE-D,Dublin,D12
2a14:7583:d00::/40,IE,IE-D,Dublin,D12
2a14:7583:f00::/40,IE,IE-D,Dublin,D12
31.57.56.0/25,IE,IE-D,Dublin,D12
31.57.56.128/25,IE,IE-D,Dublin,D12
31.57.56.0/28,IE,IE-D,Dublin,D12
31.57.56.16/28,IE,IE-D,Dublin,D12
31.57.56.32/28,IE,IE-D,Dublin,D12
31.57.56.48/28,IE,IE-D,Dublin,D12
31.57.56.64/28,IE,IE-D,Dublin,D12
31.57.56.80/28,IE,IE-D,Dublin,D12
31.57.56.96/28,IE,IE-D,Dublin,D12
31.57.56.112/28,IE,IE-D,Dublin,D12
31.57.56.128/28,IE,IE-D,Dublin,D12
31.57.56.144/28,IE,IE-D,Dublin,D12
31.57.56.160/28,IE,IE-D,Dublin,D12
31.57.56.176/28,IE,IE-D,Dublin,D12
31.57.56.192/28,IE,IE-D,Dublin,D12
31.57.56.208/28,IE,IE-D,Dublin,D12
31.57.56.224/28,IE,IE-D,Dublin,D12
31.57.56.240/28,IE,IE-D,Dublin,D12
2a14:7580:cf00::/48,AD,AD-07,Andorra la Vella,AD500
2a14:7580:cf01::/48,AE,AE-DU,Dubai,
2a14:7580:cf02::/48,AF,AF-KAB,Kabul,1007
2a14:7580:cf03::/48,AG,AG-04,Saint John,
2a14:7580:cf04::/48,AI,,The Valley,2640
2a14:7580:cf05::/48,AL,AL-11,Tirana,1040
2a14:7580:cf06::/48,AM,AM-ER,Yerevan,0010
2a14:7580:cf07::/48,AO,,Luanda,
2a14:7580:cf08::/48,AQ,,McMurdo,
2a14:7580:cf09::/48,AR,AR-A,Salta,
2a14:7580:cf0a::/48,AS,,Pago Pago,
2a14:7580:cf0b::/48,AT,AT-9,Vienna,
2a14:7580:cf0c::/48,AU,AU-ACT,Canberra,
2a14:7580:cf0d::/48,AW,,Oranjestad,
2a14:7580:cf0e::/48,AX,,Mariehamn,
2a14:7580:cf0f::/48,AZ,AZ-BA,Baku,
2a14:7580:cf10::/48,BA,BA-BIH,Sarajevo,
2a14:7580:cf11::/48,BB,BB-08,Bridgetown,
